1000mA,,1500mA,,2000mA,,,1A,41min 10s,,1000mA,,,1500mA,,,2000mA,,,,
In,Out,In,Out,In,Out,,1.5A,17min 26s,,In,Out,Diff,In,Out,,In,Out,,,
18.46,18.06,20.32,19.71,16.24,16.13,,2A,8min 20s,,20,19.6,0.4,20,19.39,0.61,20,19.91,0.09,-0.28,20
18.46,18.04,20.3,19.72,16.28,16.1,,,,,20,19.58,0.42,19.98,19.4,0.58,20.04,19.88,0.16,-0.31,20.01
18.46,18.04,20.31,19.78,16.3,16.12,,,,,20,19.58,0.42,19.99,19.46,0.53,20.06,19.9,0.16,-0.36,20.06
18.48,18.08,20.37,19.75,16.3,16.18,,,,,20.02,19.62,0.4,20.05,19.43,0.62,20.06,19.96,0.1,-0.27,20.1
18.48,18.14,20.33,19.79,16.3,16.19,,,,,20.02,19.68,0.34,20.01,19.47,0.54,20.06,19.97,0.09,-0.35,20.19
18.48,18.21,20.39,19.79,16.31,16.19,,,,,20.02,19.75,0.27,20.07,19.47,0.6,20.07,19.97,0.1,-0.29,20.31
18.49,18.2,20.35,19.82,16.37,16.19,,,,,20.03,19.74,0.29,20.03,19.5,0.53,20.13,19.97,0.16,-0.36,20.44
18.51,18.14,20.41,19.8,16.39,16.21,,,,,20.05,19.68,0.37,20.09,19.48,0.61,20.15,19.99,0.16,-0.28,20.59
18.52,18.13,20.39,19.85,16.39,16.2,,,,,20.06,19.67,0.39,20.07,19.53,0.54,20.15,19.98,0.17,-0.35,20.77
18.52,18.12,20.43,19.85,16.4,16.23,,,,,20.06,19.66,0.4,20.11,19.53,0.58,20.16,20.01,0.15,-0.31,20.97
18.53,18.06,20.44,19.88,16.47,16.28,,,,,20.07,19.6,0.47,20.12,19.56,0.56,20.23,20.06,0.17,-0.33,21.2
18.54,18.05,20.47,19.88,16.47,16.31,,,,,20.08,19.59,0.49,20.15,19.56,0.59,20.23,20.09,0.14,-0.3,21.45
18.55,18.1,20.46,19.94,16.48,16.43,,,,,20.09,19.64,0.45,20.14,19.62,0.52,20.24,20.21,0.03,-0.37,21.72
18.55,18.16,20.51,19.95,16.55,16.54,,,,,20.09,19.7,0.39,20.19,19.63,0.56,20.31,20.32,-0.01,-0.33,22.03
18.57,18.2,20.5,19.98,16.56,16.68,,,,,20.11,19.74,0.37,20.18,19.66,0.52,20.32,20.46,-0.14,-0.37,22.36
18.57,18.21,20.52,20.02,16.6,16.81,,,,,20.11,19.75,0.36,20.2,19.7,0.5,20.36,20.59,-0.23,-0.39,22.69
18.59,18.2,20.56,20.06,16.65,16.89,,,,,20.13,19.74,0.39,20.24,19.74,0.5,20.41,20.67,-0.26,-0.39,23.06
18.6,18.21,20.56,20.15,16.65,16.98,,,,,20.14,19.75,0.39,20.24,19.83,0.41,20.41,20.76,-0.35,-0.48,23.44
18.61,18.23,20.62,20.16,16.73,16.99,,,,,20.15,19.77,0.38,20.3,19.84,0.46,20.49,20.77,-0.28,-0.43,23.84
18.62,18.25,20.6,20.19,16.73,17.07,,,,,20.16,19.79,0.37,20.28,19.87,0.41,20.49,20.85,-0.36,-0.48,24.25
18.63,18.22,20.67,20.2,16.81,17.16,,,,,20.17,19.76,0.41,20.35,19.88,0.47,20.57,20.94,-0.37,-0.42,24.67
18.63,18.29,20.65,20.25,16.82,17.16,,,,,20.17,19.83,0.34,20.33,19.93,0.4,20.58,20.94,-0.36,-0.49,25.12
18.64,18.3,20.73,20.24,16.9,17.25,,,,,20.18,19.84,0.34,20.41,19.92,0.49,20.66,21.03,-0.37,-0.4,25.58
18.66,18.33,20.71,20.29,16.91,17.33,,,,,20.2,19.87,0.33,20.39,19.97,0.42,20.67,21.11,-0.44,-0.47,26.05
18.69,18.33,20.77,20.28,16.99,17.34,,,,,20.23,19.87,0.36,20.45,19.96,0.49,20.75,21.12,-0.37,-0.4,26.52
18.71,18.3,20.77,20.32,17.01,17.42,,,,,20.25,19.84,0.41,20.45,20,0.45,20.77,21.2,-0.43,-0.44,27.03
18.71,18.3,20.8,20.34,17.08,17.54,,,,,20.25,19.84,0.41,20.48,20.02,0.46,20.84,21.32,-0.48,-0.43,27.52
18.71,18.3,20.84,20.41,17.15,17.67,,,,,20.25,19.84,0.41,20.52,20.09,0.43,20.91,21.45,-0.54,-0.46,28.05
18.74,18.3,20.86,20.41,17.17,17.77,,,,,20.28,19.84,0.44,20.54,20.09,0.45,20.93,21.55,-0.62,-0.44,28.56
18.75,18.22,20.87,20.48,17.25,17.86,,,,,20.29,19.76,0.53,20.55,20.16,0.39,21.01,21.64,-0.63,-0.5,29.09
18.77,18.21,20.92,20.5,17.32,17.86,,,,,20.31,19.75,0.56,20.6,20.18,0.42,21.08,21.64,-0.56,-0.47,29.61
18.8,18.22,20.94,20.55,17.34,17.86,,,,,20.34,19.76,0.58,20.62,20.23,0.39,21.1,21.64,-0.54,-0.5,30.14
18.8,18.22,20.98,20.57,17.42,17.95,,,,,20.34,19.76,0.58,20.66,20.25,0.41,21.18,21.73,-0.55,-0.48,30.7
18.81,18.22,21.02,20.59,17.48,17.95,,,,,20.35,19.76,0.59,20.7,20.27,0.43,21.24,21.73,-0.49,-0.46,31.24
18.82,18.21,21.03,20.65,17.52,18.05,,,,,20.36,19.75,0.61,20.71,20.33,0.38,21.28,21.83,-0.55,-0.51,31.78
18.85,18.21,21.09,20.67,17.59,18.23,,,,,20.39,19.75,0.64,20.77,20.35,0.42,21.35,22.01,-0.66,-0.47,32.34
18.87,18.21,21.12,20.75,17.68,18.38,,,,,20.41,19.75,0.66,20.8,20.43,0.37,21.44,22.16,-0.72,-0.52,32.88
18.88,18.21,21.13,20.81,17.74,18.41,,,,,20.42,19.75,0.67,20.81,20.49,0.32,21.5,22.19,-0.69,-0.57,33.45
18.89,18.21,21.17,20.85,17.78,18.56,,,,,20.43,19.75,0.68,20.85,20.53,0.32,21.54,22.34,-0.8,-0.57,34.02
18.9,18.27,21.21,20.94,17.85,18.56,,,,,20.44,19.81,0.63,20.89,20.62,0.27,21.61,22.34,-0.73,-0.62,34.57
18.94,18.3,21.23,20.96,17.94,18.57,,,,,20.48,19.84,0.64,20.91,20.64,0.27,21.7,22.35,-0.65,-0.62,35.13
