500mA,,,,,,,,,,1000mA,,,,,,,,,,1500mA,,,,,,,,,,,,,,,
1,,,2,,,3,,,Average,1,,,2,,,3,,,Average,1,,,2,,,3,,,Average,,,Time,500mA,1000mA,1500mA
In,Out,In(20),In,Out,In(20),In,Out,In(20),,In,Out,In(20),In,Out,In(20),In,Out,In(20),,In,Out,In(20),In,Out,In(20),In,Out,In(20),,,,s,°C,°C,°C
21.71,20.95,20,23.73,23.64,20,19.48,18.06,20,20.00,20.09,21.63,20,19.77,19.09,20,20.44,19.86,20,20.00,19.96,19.53,20,20.18,19.82,20,20.42,19.81,20,20.00,,,1.5,20,20,20
21.73,20.94,20.02,23.64,22.72,19.91,19.31,18.04,19.83,19.92,20.11,21.26,20.02,19.78,19.01,20.01,20.45,19.88,20.01,20.01,19.99,19.52,20.03,20.19,19.8,20.01,20.43,19.85,20.01,20.02,,,3,19.92,20.01,20.01666667
21.73,20.94,20.02,23.64,22.69,19.91,19.21,18.04,19.73,19.89,20.17,20.94,20.08,19.78,19,20.01,20.45,19.88,20.01,20.01,20,19.45,20.04,20.21,19.79,20.03,20.44,19.88,20.02,20.03,,,4.5,19.88666667,20.01,20.03
21.73,20.94,20.02,23.64,22.63,19.91,19.14,18.04,19.66,19.86,20.22,20.76,20.13,19.79,19,20.02,20.48,19.85,20.04,20.03,20,19.45,20.04,20.24,19.74,20.06,20.47,19.88,20.05,20.05,,,6,19.86333333,20.03,20.05
21.73,20.94,20.02,23.64,22.63,19.91,19.09,18.04,19.61,19.85,20.27,20.62,20.18,19.8,19,20.03,20.49,19.88,20.05,20.04,20.01,19.51,20.05,20.26,19.71,20.08,20.5,19.88,20.08,20.07,,,7.5,19.84666667,20.04,20.07
21.73,20.94,20.02,23.64,22.63,19.91,19.07,18.04,19.59,19.84,20.35,20.51,20.26,19.82,19,20.05,20.5,19.88,20.06,20.06,20.03,19.53,20.07,20.26,19.71,20.08,20.52,19.88,20.1,20.08,,,9,19.84,20.055,20.08333333
21.73,20.94,20.02,23.64,22.62,19.91,19.07,18.04,19.59,19.84,20.4,20.5,20.31,19.82,19,20.05,20.51,19.88,20.07,20.06,20.06,19.53,20.1,20.28,19.71,20.1,20.53,19.88,20.11,20.10,,,10.5,19.84,20.06,20.10333333
21.73,20.94,20.02,23.64,22.54,19.91,19.06,18.04,19.58,19.84,20.45,20.58,20.36,19.83,19.08,20.06,20.52,19.88,20.08,20.07,20.09,19.62,20.13,20.32,19.75,20.14,20.56,19.88,20.14,20.14,,,12,19.83666667,20.07,20.13666667
21.73,20.94,20.02,23.64,22.55,19.91,19.06,18.04,19.58,19.84,20.52,20.59,20.43,19.83,19.09,20.06,20.52,19.88,20.08,20.07,20.09,19.62,20.13,20.34,19.79,20.16,20.6,19.97,20.18,20.16,,,13.5,19.83666667,20.07,20.15666667
21.74,20.94,20.03,23.64,22.57,19.91,19.07,18.04,19.59,19.84,20.6,20.64,20.51,19.83,19.11,20.06,20.53,19.88,20.09,20.08,20.12,19.71,20.16,20.36,19.79,20.18,20.61,19.97,20.19,20.18,,,15,19.84333333,20.075,20.17666667
21.74,20.94,20.03,23.64,22.53,19.91,19.08,18.04,19.6,19.85,20.63,20.59,20.54,19.84,19.11,20.07,20.55,19.88,20.11,20.09,20.16,19.71,20.2,20.39,19.87,20.21,20.67,19.97,20.25,20.22,,,16.5,19.84666667,20.09,20.22
21.76,20.94,20.05,23.64,22.53,19.91,19.09,18.04,19.61,19.86,20.7,20.59,20.61,19.87,19.11,20.1,20.6,19.88,20.16,20.13,20.18,19.73,20.22,20.43,19.88,20.25,20.69,20.06,20.27,20.25,,,18,19.85666667,20.13,20.24666667
21.79,20.94,20.08,23.64,22.55,19.91,19.1,18.04,19.62,19.87,20.77,20.67,20.68,19.88,19.11,20.11,20.6,19.88,20.16,20.14,20.2,19.79,20.24,20.44,19.89,20.26,20.73,20.06,20.31,20.27,,,19.5,19.87,20.135,20.27
21.8,20.94,20.09,23.64,22.59,19.91,19.13,18.04,19.65,19.88,20.81,20.67,20.72,19.89,19.12,20.12,20.61,19.88,20.17,20.15,20.25,19.8,20.29,20.48,19.97,20.3,20.78,20.14,20.36,20.32,,,21,19.88333333,20.145,20.31666667
21.81,20.94,20.1,23.64,22.62,19.91,19.06,18.04,19.58,19.86,20.87,20.66,20.78,19.91,19.18,20.14,20.62,19.88,20.18,20.16,20.26,19.88,20.3,20.52,19.98,20.34,20.79,20.22,20.37,20.34,,,22.5,19.86333333,20.16,20.33666667
21.82,20.96,20.11,23.64,22.62,19.91,19.08,18.04,19.6,19.87,20.94,20.66,20.85,19.91,19.18,20.14,20.65,19.9,20.21,20.18,20.28,19.88,20.32,20.55,20.06,20.37,20.86,20.23,20.44,20.38,,,24,19.87333333,20.175,20.37666667
21.82,20.99,20.11,23.64,22.62,19.91,19.13,18.05,19.65,19.89,20.99,20.64,20.9,19.92,19.2,20.15,20.69,19.96,20.25,20.20,20.35,19.88,20.39,20.6,20.15,20.42,20.87,20.24,20.45,20.42,,,25.5,19.89,20.2,20.42
21.82,21,20.11,23.64,22.62,19.91,19.14,18.12,19.66,19.89,21.04,20.67,20.95,19.92,19.21,20.15,20.69,19.97,20.25,20.20,20.35,19.94,20.39,20.62,20.22,20.44,20.93,20.32,20.51,20.45,,,27,19.89333333,20.2,20.44666667
21.82,21.02,20.11,23.64,22.62,19.91,19.14,18.17,19.66,19.89,21.11,20.76,21.02,19.93,19.22,20.16,20.7,19.98,20.26,20.21,20.43,19.97,20.47,20.69,20.32,20.51,20.96,20.4,20.54,20.51,,,28.5,19.89333333,20.21,20.50666667
21.82,21.02,20.11,23.64,22.62,19.91,19.15,18.21,19.67,19.90,21.17,20.76,21.08,19.95,19.27,20.18,20.74,20.03,20.3,20.24,20.44,20.06,20.48,20.71,20.31,20.53,21.02,20.44,20.6,20.54,,,30,19.89666667,20.24,20.53666667
21.82,21.03,20.11,23.64,22.62,19.91,19.15,18.21,19.67,19.90,21.21,20.85,21.12,20,19.27,20.23,20.77,20.06,20.33,20.28,20.52,20.14,20.56,20.77,20.32,20.59,21.05,20.54,20.63,20.59,,,31.5,19.89666667,20.28,20.59333333
21.82,21.03,20.11,23.64,22.62,19.91,19.17,18.2,19.69,19.90,21.3,20.94,21.21,20,19.33,20.23,20.78,20.12,20.34,20.29,20.55,20.16,20.59,20.82,20.32,20.64,21.12,20.59,20.7,20.64,,,33,19.90333333,20.285,20.64333333
21.84,21.03,20.13,23.64,22.62,19.91,19.2,18.17,19.72,19.92,21.35,20.94,21.26,20.01,19.44,20.24,20.8,20.15,20.36,20.30,20.61,20.3,20.65,20.87,20.41,20.69,21.16,20.67,20.74,20.69,,,34.5,19.92,20.3,20.69333333
21.84,21.03,20.13,23.64,22.65,19.91,19.22,18.13,19.74,19.93,21.39,20.94,21.3,20.02,19.44,20.25,20.84,20.15,20.4,20.33,20.68,20.41,20.72,20.9,20.5,20.72,21.21,20.76,20.79,20.74,,,36,19.92666667,20.325,20.74333333
