1000mA,,1500mA,,2000mA,,,1A,,,1000mA,,1500mA,,2000mA,
In,Out,In,Out,In,Out,,1.5A,2min 21s,,In,Out,In,Out,In,Out
16.37,21.26,17.26,17.9,22.76,22.2,,2A,1min 35s,,20,,20,,20,
16.39,20.79,17.25,17.78,22.77,22.17,,,,,20.02,,19.99,,20.01,
16.52,21.14,17.16,17.58,22.82,22.17,,,,,20.15,,19.9,,20.06,
16.66,21.47,17.16,17.48,22.86,22.17,,,,,20.29,,19.9,,20.1,
16.8,21.78,17.16,17.42,22.95,22.26,,,,,20.43,,19.9,,20.19,
16.97,22.29,17.16,17.57,23.07,22.3,,,,,20.6,,19.9,,20.31,
17.14,22.47,17.21,17.9,23.2,22.48,,,,,20.77,,19.95,,20.44,
17.33,22.72,17.33,18.08,23.35,22.52,,,,,20.96,,20.07,,20.59,
17.52,23.03,17.49,18.25,23.53,22.44,,,,,21.15,,20.23,,20.77,
17.72,23.38,17.71,18.67,23.73,22.43,,,,,21.35,,20.45,,20.97,
17.93,24.29,17.97,18.91,23.96,22.35,,,,,21.56,,20.71,,21.2,
18.14,25.06,18.26,19.34,24.21,22.28,,,,,21.77,,21,,21.45,
18.34,25.56,18.59,20.02,24.48,22.26,,,,,21.97,,21.33,,21.72,
18.56,26.14,18.97,20.75,24.79,22.18,,,,,22.19,,21.71,,22.03,
18.78,26.74,19.36,20.64,25.12,22.19,,,,,22.41,,22.1,,22.36,
19.01,27.25,19.76,20.7,25.45,22.24,,,,,22.64,,22.5,,22.69,
19.23,27.28,20.19,20.85,25.82,22.26,,,,,22.86,,22.93,,23.06,
19.46,27.32,20.65,20.87,26.2,22.26,,,,,23.09,,23.39,,23.44,
19.67,27.66,21.1,21.2,26.6,22.27,,,,,23.3,,23.84,,23.84,
19.89,28.01,21.57,21.85,27.01,22.34,,,,,23.52,,24.31,,24.25,
20.18,28.51,22.04,21.96,27.43,22.35,,,,,23.81,,24.78,,24.67,
20.4,28.83,22.51,22.25,27.88,22.42,,,,,24.03,,25.25,,25.12,
20.61,28.72,22.99,22.84,28.34,22.44,,,,,24.24,,25.73,,25.58,
20.81,28.53,23.48,23.4,28.81,22.45,,,,,24.44,,26.22,,26.05,
20.99,28.24,23.97,23.58,29.28,22.53,,,,,24.62,,26.71,,26.52,
21.13,27.99,24.44,23.64,29.79,22.62,,,,,24.76,,27.18,,27.03,
21.27,27.66,24.93,23.98,30.28,22.68,,,,,24.9,,27.67,,27.52,
21.38,27.32,25.4,24.33,30.81,22.73,,,,,25.01,,28.14,,28.05,
21.26,26.9,25.87,24.33,31.32,22.85,,,,,24.89,,28.61,,28.56,
21.13,26.53,26.34,24.09,31.85,22.95,,,,,24.76,,29.08,,29.09,
21.03,26.18,26.8,24.43,32.37,23.06,,,,,24.66,,29.54,,29.61,
20.93,25.89,27.27,24.26,32.9,23.21,,,,,24.56,,30.01,,30.14,
20.86,25.62,27.72,23.99,33.46,23.32,,,,,24.49,,30.46,,30.7,
20.78,25.37,28.16,23.67,34,23.44,,,,,24.41,,30.9,,31.24,
20.69,25.14,28.61,23.53,34.54,23.56,,,,,24.32,,31.35,,31.78,
20.63,24.88,29.05,23.38,35.1,23.68,,,,,24.26,,31.79,,32.34,
20.6,24.68,29.47,23.38,35.64,23.8,,,,,24.23,,32.21,,32.88,
20.52,24.47,29.91,23.53,36.21,23.95,,,,,24.15,,32.65,,33.45,
20.52,24.24,30.36,24.19,36.78,24.13,,,,,24.15,,33.1,,34.02,
20.44,24.05,30.78,25.75,37.33,24.34,,,,,24.07,,33.52,,34.57,
20.43,23.89,31.2,26.14,37.89,24.76,,,,,24.06,,33.94,,35.13,
20.41,23.69,31.61,26.3,38.45,24.98,,,,,24.04,,34.35,,35.69,
20.35,23.56,32.03,26.7,39,25.02,,,,,23.98,,34.77,,36.24,
20.35,23.36,32.44,26.56,39.58,25.1,,,,,23.98,,35.18,,36.82,
20.33,23.24,32.84,26.42,40.16,25.11,,,,,23.96,,35.58,,37.4,
20.27,23.15,33.24,26.4,40.71,25.17,,,,,23.9,,35.98,,37.95,
20.26,23.05,33.64,26.3,41.27,25.31,,,,,23.89,,36.38,,38.51,
20.26,22.96,34.03,26.2,41.85,25.44,,,,,23.89,,36.77,,39.09,
20.22,22.85,34.4,27.03,42.41,25.54,,,,,23.85,,37.14,,39.65,
20.17,22.73,34.79,27.46,42.98,25.66,,,,,23.8,,37.53,,40.22,
20.17,23.83,35.17,27.11,43.55,25.79,,,,,23.8,,37.91,,40.79,
20.08,23.11,35.54,27.13,44.13,25.96,,,,,23.71,,38.28,,41.37,
20.08,23.43,35.91,27.42,44.67,26.1,,,,,23.71,,38.65,,41.91,
20.07,23.81,36.28,27.29,45.26,26.27,,,,,23.7,,39.02,,42.5,
20.08,24.2,36.65,27.26,45.81,26.38,,,,,23.71,,39.39,,43.05,
20.09,24.91,37.01,27.3,46.38,26.51,,,,,23.72,,39.75,,43.62,
20.09,25.64,37.37,27.54,46.93,26.65,,,,,23.72,,40.11,,44.17,
20.18,26.18,37.72,27.47,47.5,26.84,,,,,23.81,,40.46,,44.74,
20.21,26.61,38.08,27.63,48.05,27.01,,,,,23.84,,40.82,,45.29,
20.26,26.85,38.43,27.53,48.6,27.1,,,,,23.89,,41.17,,45.84,
20.35,27.28,38.78,28.19,49.16,27.3,,,,,23.98,,41.52,,46.4,
20.43,27.54,39.13,28.05,49.72,27.52,,,,,24.06,,41.87,,46.96,
20.53,27.59,39.48,27.81,50.26,27.65,,,,,24.16,,42.22,,47.5,
20.62,28.25,39.84,27.92,50.8,27.89,,,,,24.25,,42.58,,48.04,
20.74,28.76,40.19,27.86,51.37,28.05,,,,,24.37,,42.93,,48.61,
20.86,29.46,40.51,28.21,51.92,28.55,,,,,24.49,,43.25,,49.16,
20.96,29.99,40.86,28.43,52.5,28.9,,,,,24.59,,43.6,,49.74,
21.1,30.28,41.19,28.72,53,29.09,,,,,24.73,,43.93,,50.24,
21.21,30.69,41.53,28.95,53.53,29.12,,,,,24.84,,44.27,,50.77,
21.35,31.03,41.86,29.06,54.08,29.3,,,,,24.98,,44.6,,51.32,
21.48,31.53,42.19,29.08,54.62,29.46,,,,,25.11,,44.93,,51.86,
21.63,32.21,42.52,29.01,55.16,29.66,,,,,25.26,,45.26,,52.4,
