Colourimetric 1,,Colourimetric 2,,Colourimetric 3,
Temp,PWM,Temp,PWM,Temp,PWM
23.63,255,,,,
23.63,255,,,,
23.72,253.14,,,,
23.51,255,,,,
23.51,255,,,,
23.51,255,,,,
23.51,255,,,,
23.53,255,,,,
23.55,255,,,,
23.58,255,,,,
23.64,255,,,,
23.72,255,,,,
23.83,255,,,,
23.95,255,,,,
24.11,255,,,,
24.28,255,,,,
24.49,255,,,,
24.72,255,,,,
24.96,255,,,,
25.23,255,,,,
25.52,255,,,,
25.84,255,,,,
26.17,255,,,,
26.51,255,,,,
26.89,255,,,,
27.25,255,,,,
27.64,255,,,,
28.04,255,,,,
28.44,255,,,,
28.89,255,,,,
29.32,255,,,,
29.81,255,,,,
30.31,255,,,,
30.82,255,,,,
31.31,255,,,,
31.8,255,,,,
32.32,255,,,,
32.98,255,,,,
33.42,255,,,,
33.99,255,,,,
34.56,255,,,,
35.13,255,,,,
35.7,255,,,,
36.25,255,,,,
36.82,255,,,,
37.37,255,,,,
37.93,255,,,,
38.48,255,,,,
39.05,255,,,,
39.62,255,,,,
40.19,255,,,,
40.77,255,,,,
41.35,255,,,,
41.94,255,,,,
42.54,255,,,,
43.13,255,,,,
43.73,255,,,,
44.32,255,,,,
44.96,255,,,,
45.57,255,,,,
46.19,255,,,,
46.81,255,,,,
47.43,255,,,,
48.06,255,,,,
48.68,255,,,,
49.3,255,,,,
49.91,255,,,,
50.53,255,,,,
51.15,255,,,,
51.79,255,,,,
52.4,255,,,,
53.06,255,,,,
53.69,255,,,,
54.31,255,,,,
54.95,255,,,,
55.56,255,,,,
56.18,255,,,,
56.81,255,,,,
57.43,255,,,,
58.07,255,,,,
58.69,255,,,,
59.34,255,,,,
59.94,255,,,,
60.56,255,,,,
61.2,255,,,,
61.82,255,,,,
62.45,255,,,,
63.09,255,,,,
63.79,255,,,,
64.38,252.6,,,,
65.02,238.71,,,,
65.6,228.06,,,,
66.2,215.34,,,,
66.78,202.86,,,,
67.94,163.78,,,,
67.85,195.87,,,,
68.51,161.54,,,,
69.27,142.21,,,,
70.55,100.73,,,,
70.27,142.37,,,,
70.96,101.49,,,,
72.23,58.1,,,,
73.08,47.4,,,,
72.91,72.4,,,,
73.98,15.51,,,,
75,0,,,,
75.59,0,,,,
76.19,0,,,,
76.78,0,,,,
77.33,0,,,,
77.91,0,,,,
78.46,0,,,,
78.93,0,,,,
79.44,0,,,,
79.85,0,,,,
80.28,0,,,,
80.76,0,,,,
81.17,0,,,,
81.53,0,,,,
81.96,0,,,,
82.28,0,,,,
82.59,0,,,,
82.92,0,,,,
83.21,0,,,,
83.4,0,,,,
83.67,0,,,,
83.94,0,,,,
84.07,0,,,,
84.32,0,,,,
84.46,0,,,,
84.71,0,,,,
84.77,0,,,,
84.92,0,,,,
85.08,0,,,,
85.13,0,,,,
85.23,0,,,,
85.34,0,,,,
85.41,0,,,,
85.45,0,,,,
85.48,0,,,,
85.49,0,,,,
85.55,0,,,,
85.59,0,,,,
85.58,0,,,,
85.57,0,,,,
85.59,0,,,,
85.56,0,,,,
85.55,0,,,,
85.48,0,,,,
85.5,0,,,,
85.47,0,,,,
85.42,0,,,,
85.37,0,,,,
85.31,0,,,,
85.18,0,,,,
85.14,0,,,,
85.09,0,,,,
85.04,0,,,,
84.86,0,,,,
84.76,0,,,,
84.73,0,,,,
84.59,0,,,,
84.45,0,,,,
84.37,0,,,,
84.25,0,,,,
84.08,0,,,,
84.03,0,,,,
83.94,0,,,,
83.76,0,,,,
83.65,0,,,,
83.45,0,,,,
83.35,0,,,,
83.26,0,,,,
83.05,0,,,,
82.96,0,,,,
82.75,0,,,,
82.65,0,,,,
82.46,0,,,,
82.32,0,,,,
82.16,0,,,,
82.01,0,,,,
81.87,0,,,,
81.67,0,,,,
81.5,0,,,,
81.36,0,,,,
81.23,0,,,,
81.05,0,,,,
80.92,0,,,,
80.73,0,,,,
80.55,0,,,,
80.42,0,,,,
80.22,0,,,,
80.08,0,,,,
79.85,0,,,,
79.75,0,,,,
79.52,0,,,,
79.37,0,,,,
79.19,0,,,,
79.03,0,,,,
78.87,0,,,,
78.66,0,,,,
78.52,0,,,,
78.32,0,,,,
78.19,0,,,,
78.01,0,,,,
77.83,0,,,,
77.7,0,,,,
77.45,0,,,,
77.3,0,,,,
77.12,0,,,,
76.93,0,,,,
76.78,0,,,,
76.59,0,,,,
76.44,0,,,,
76.26,0,,,,
76.08,0,,,,
75.92,0,,,,
75.76,0,,,,
75.57,0,,,,
75.39,0,,,,
75.22,0,,,,
75.03,0,,,,
74.89,0,,,,
74.69,0,,,,
74.52,0,,,,
74.37,0,,,,
74.19,0,,,,
74.01,0,,,,
73.85,0,,,,
73.66,0,,,,
73.5,0,,,,
73.38,0,,,,
73.14,0,,,,
73,0,,,,
72.87,0,,,,
72.66,0,,,,
72.49,0,,,,
72.37,0,,,,
72.17,0,,,,
72.03,0,,,,
71.86,0,,,,
71.69,0,,,,
71.51,0,,,,
71.38,0,,,,
71.2,0,,,,
71.03,0,,,,
70.9,0,,,,
70.72,0,,,,
70.53,0,,,,
70.41,0,,,,
70.26,0,,,,
70.06,0,,,,
69.96,0,,,,
69.8,0,,,,
69.61,0,,,,
69.44,0,,,,
69.3,0,,,,
69.14,0,,,,
68.99,0,,,,
68.85,0,,,,
68.67,0,,,,
68.53,0,,,,
68.42,0,,,,
68.25,0,,,,
68.11,0,,,,
67.98,0,,,,
67.82,0,,,,
67.63,0,,,,
67.52,0,,,,
67.38,0,,,,
67.2,0,,,,
67.06,0,,,,
66.93,0,,,,
66.85,0,,,,
66.71,0,,,,
66.55,0,,,,
66.41,0,,,,
66.28,0,,,,
66.13,0,,,,
65.95,0,,,,
65.86,0,,,,
65.72,0,,,,
65.56,0,,,,
65.42,0,,,,
65.29,0,,,,
65.14,0.96,,,,
65.03,2.36,,,,
64.91,4.87,,,,
64.75,9.3,,,,
64.29,26.19,,,,
64.49,5.9,,,,
64.35,17.43,,,,
64.23,20.17,,,,
64.1,22.99,,,,
63.58,44.24,,,,
63.77,22.96,,,,
63.73,30.36,,,,
63.47,41.72,,,,
62.92,61.02,,,,
62.65,60.68,,,,
62.52,61.13,,,,
62.46,61.73,,,,
62.34,66.71,,,,
62.3,67.03,,,,
