8-Jun, 2022   14:16:24,,,,,,,,,,
Differential Pulse Voltammetry,,,,,,,,,,,
File: e:\bare electrode\bare fe3+_spge1.bin.csv,,,,,,,,,,,
Data Source:  Experiment,,,,,,,,,,,
Instrument Model:  CHI650E,,,,,,,,,,,
Data Proc:  Smoothing,,,,,,,,,,,
Header: ,,,,,,,,,,,
Note: ,,,,,,,,,,,
,,,,,,,,,,,
Init E (V) = -0.15,,,,,,,,,,,
Final E (V) = 0.35,,,,,,,,,,,
Incr E (V) = 0.004,,,,,,,,,,,
Amplitude (V) = 0.05,,,,,,,,,,,
Pulse Width (sec) = 0.05,,,,,,,,,,,
Sample Width (sec) = 0.0167,,,,,,,,,,,
Pulse Period (sec) = 0.5,,,,,,,,,,,
Quiet Time (sec) = 10,,,,,,,,,,,
Sensitivity (A/V) = 0.001,,,,,,,,,,,
,,,,,,,,,,,
Ep = 0.078V,,,,,,,,,,,
ip = -6.780e-6A,,,,,,,,,,,
Ap = -1.158e-6VA,,,,,,,,,,,
,,,,,,,,,,,
Potential/V, Current/A,,,,,,,,,,
,,,,,,,,,,,
-0.146,-2.07E-06,-2.75E-06,-2.83E-06,-2.48E-06,-2.87E-06,-2.78E-06,-1.85E-06,-2.03E-06,-2.96E-06,-2.85E-06,-2.55E-06
-0.142,-2.05E-06,-2.69E-06,-2.77E-06,-2.46E-06,-2.82E-06,-2.73E-06,-1.80E-06,-1.99E-06,-2.91E-06,-2.81E-06,-2.50E-06
-0.138,-2.03E-06,-2.64E-06,-2.72E-06,-2.44E-06,-2.79E-06,-2.70E-06,-1.76E-06,-1.95E-06,-2.87E-06,-2.78E-06,-2.47E-06
-0.134,-2.02E-06,-2.61E-06,-2.68E-06,-2.43E-06,-2.75E-06,-2.66E-06,-1.73E-06,-1.92E-06,-2.83E-06,-2.75E-06,-2.44E-06
-0.13,-2.01E-06,-2.59E-06,-2.65E-06,-2.41E-06,-2.73E-06,-2.64E-06,-1.71E-06,-1.89E-06,-2.81E-06,-2.73E-06,-2.42E-06
-0.126,-1.99E-06,-2.58E-06,-2.63E-06,-2.39E-06,-2.71E-06,-2.62E-06,-1.70E-06,-1.87E-06,-2.79E-06,-2.72E-06,-2.40E-06
-0.122,-1.98E-06,-2.56E-06,-2.61E-06,-2.37E-06,-2.69E-06,-2.62E-06,-1.70E-06,-1.84E-06,-2.78E-06,-2.72E-06,-2.39E-06
-0.118,-1.98E-06,-2.55E-06,-2.60E-06,-2.36E-06,-2.67E-06,-2.62E-06,-1.71E-06,-1.81E-06,-2.78E-06,-2.73E-06,-2.38E-06
-0.114,-1.97E-06,-2.53E-06,-2.58E-06,-2.34E-06,-2.66E-06,-2.62E-06,-1.71E-06,-1.79E-06,-2.77E-06,-2.73E-06,-2.37E-06
-0.11,-1.97E-06,-2.52E-06,-2.57E-06,-2.32E-06,-2.66E-06,-2.63E-06,-1.71E-06,-1.76E-06,-2.76E-06,-2.73E-06,-2.36E-06
-0.106,-1.97E-06,-2.50E-06,-2.55E-06,-2.32E-06,-2.65E-06,-2.64E-06,-1.72E-06,-1.74E-06,-2.75E-06,-2.73E-06,-2.36E-06
-0.102,-1.97E-06,-2.49E-06,-2.54E-06,-2.30E-06,-2.65E-06,-2.65E-06,-1.73E-06,-1.71E-06,-2.73E-06,-2.74E-06,-2.35E-06
-0.098,-1.98E-06,-2.48E-06,-2.53E-06,-2.31E-06,-2.65E-06,-2.66E-06,-1.75E-06,-1.69E-06,-2.73E-06,-2.74E-06,-2.35E-06
-0.094,-1.99E-06,-2.47E-06,-2.52E-06,-2.31E-06,-2.66E-06,-2.67E-06,-1.78E-06,-1.67E-06,-2.75E-06,-2.76E-06,-2.36E-06
-0.09,-2.00E-06,-2.47E-06,-2.52E-06,-2.31E-06,-2.66E-06,-2.69E-06,-1.81E-06,-1.66E-06,-2.76E-06,-2.79E-06,-2.37E-06
-0.086,-2.01E-06,-2.48E-06,-2.53E-06,-2.32E-06,-2.68E-06,-2.71E-06,-1.84E-06,-1.64E-06,-2.79E-06,-2.83E-06,-2.38E-06
-0.082,-2.03E-06,-2.48E-06,-2.54E-06,-2.33E-06,-2.69E-06,-2.74E-06,-1.88E-06,-1.64E-06,-2.81E-06,-2.87E-06,-2.40E-06
-0.078,-2.06E-06,-2.49E-06,-2.55E-06,-2.33E-06,-2.71E-06,-2.77E-06,-1.92E-06,-1.64E-06,-2.84E-06,-2.92E-06,-2.42E-06
