June 8, 2022   14:00:33
Differential Pulse Voltammetry
File: e:\bare electrode\bare fe3+_spge5.bin.csv
Data Source:  Experiment
Instrument Model:  CHI650E
Data Proc:  Smoothing
Header: 
Note: 

Init E (V) = -0.15
Final E (V) = 0.35
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 10
Sensitivity (A/V) = 0.001

Ep = 0.078V
ip = -4.807e-6A
Ap = -8.864e-7VA

Potential/V, Current/A

-0.146, -2.871e-6
-0.142, -2.824e-6
-0.138, -2.785e-6
-0.134, -2.752e-6
-0.130, -2.730e-6
-0.126, -2.709e-6
-0.122, -2.690e-6
-0.118, -2.673e-6
-0.114, -2.663e-6
-0.110, -2.657e-6
-0.106, -2.651e-6
-0.102, -2.649e-6
-0.098, -2.651e-6
-0.094, -2.655e-6
-0.090, -2.660e-6
-0.086, -2.678e-6
-0.082, -2.688e-6
-0.078, -2.712e-6
-0.074, -2.743e-6
-0.070, -2.769e-6
-0.066, -2.796e-6
-0.062, -2.828e-6
-0.058, -2.859e-6
-0.054, -2.912e-6
-0.050, -2.980e-6
-0.046, -3.056e-6
-0.042, -3.147e-6
-0.038, -3.244e-6
-0.034, -3.339e-6
-0.030, -3.446e-6
-0.026, -3.558e-6
-0.022, -3.681e-6
-0.018, -3.814e-6
-0.014, -3.951e-6
-0.010, -4.092e-6
-0.006, -4.240e-6
-0.002, -4.397e-6
0.002, -4.557e-6
0.006, -4.726e-6
0.010, -4.905e-6
0.014, -5.089e-6
0.018, -5.273e-6
0.022, -5.445e-6
0.026, -5.604e-6
0.030, -5.756e-6
0.034, -5.903e-6
0.038, -6.034e-6
0.042, -6.159e-6
0.046, -6.268e-6
0.050, -6.374e-6
0.054, -6.463e-6
0.058, -6.532e-6
0.062, -6.584e-6
0.066, -6.627e-6
0.070, -6.658e-6
0.074, -6.683e-6
0.078, -6.692e-6
0.082, -6.684e-6
0.086, -6.659e-6
0.090, -6.618e-6
0.094, -6.561e-6
0.098, -6.497e-6
0.102, -6.418e-6
0.106, -6.336e-6
0.110, -6.244e-6
0.114, -6.141e-6
0.118, -6.033e-6
0.122, -5.916e-6
0.126, -5.796e-6
0.130, -5.677e-6
0.134, -5.551e-6
0.138, -5.428e-6
0.142, -5.304e-6
0.146, -5.191e-6
0.150, -5.073e-6
0.154, -4.945e-6
0.158, -4.800e-6
0.162, -4.653e-6
0.166, -4.497e-6
0.170, -4.352e-6
0.174, -4.204e-6
0.178, -4.048e-6
0.182, -3.894e-6
0.186, -3.737e-6
0.190, -3.578e-6
0.194, -3.416e-6
0.198, -3.263e-6
0.202, -3.105e-6
0.206, -2.958e-6
0.210, -2.813e-6
0.214, -2.674e-6
0.218, -2.537e-6
0.222, -2.410e-6
0.226, -2.287e-6
0.230, -2.163e-6
0.234, -2.045e-6
0.238, -1.931e-6
0.242, -1.829e-6
0.246, -1.738e-6
0.250, -1.656e-6
0.254, -1.574e-6
0.258, -1.499e-6
0.262, -1.423e-6
0.266, -1.358e-6
0.270, -1.289e-6
0.274, -1.233e-6
0.278, -1.181e-6
0.282, -1.134e-6
0.286, -1.089e-6
0.290, -1.050e-6
0.294, -1.009e-6
0.298, -9.816e-7
0.302, -9.569e-7
0.306, -9.301e-7
0.310, -9.048e-7
0.314, -8.864e-7
0.318, -8.659e-7
0.322, -8.498e-7
0.326, -8.338e-7
0.330, -8.214e-7
0.334, -8.081e-7
0.338, -8.072e-7
0.342, -7.979e-7
0.346, -7.863e-7
0.350, -7.726e-7
