Potential/V,Current/A,,,,
,SPGE1,SPGE2,SPGE3,SPGE4,SPGE5
-0.146,-2.90E-06,-2.27E-06,-3.24E-06,-2.55E-06,-2.25E-06
-0.142,-2.87E-06,-2.26E-06,-3.20E-06,-2.53E-06,-2.20E-06
-0.138,-2.83E-06,-2.27E-06,-3.17E-06,-2.51E-06,-2.16E-06
-0.134,-2.79E-06,-2.27E-06,-3.14E-06,-2.49E-06,-2.12E-06
-0.13,-2.76E-06,-2.27E-06,-3.12E-06,-2.47E-06,-2.08E-06
-0.126,-2.72E-06,-2.27E-06,-3.11E-06,-2.45E-06,-2.05E-06
-0.122,-2.69E-06,-2.28E-06,-3.10E-06,-2.43E-06,-2.02E-06
-0.118,-2.68E-06,-2.29E-06,-3.09E-06,-2.41E-06,-1.99E-06
-0.114,-2.67E-06,-2.30E-06,-3.09E-06,-2.39E-06,-1.97E-06
-0.11,-2.68E-06,-2.31E-06,-3.09E-06,-2.38E-06,-1.96E-06
-0.106,-2.68E-06,-2.33E-06,-3.10E-06,-2.37E-06,-1.95E-06
-0.102,-2.69E-06,-2.34E-06,-3.11E-06,-2.36E-06,-1.94E-06
-0.098,-2.70E-06,-2.36E-06,-3.12E-06,-2.36E-06,-1.95E-06
-0.094,-2.71E-06,-2.37E-06,-3.13E-06,-2.36E-06,-1.95E-06
-0.09,-2.73E-06,-2.38E-06,-3.16E-06,-2.37E-06,-1.97E-06
-0.086,-2.76E-06,-2.39E-06,-3.19E-06,-2.37E-06,-1.99E-06
-0.082,-2.78E-06,-2.41E-06,-3.22E-06,-2.37E-06,-2.02E-06
-0.078,-2.80E-06,-2.44E-06,-3.25E-06,-2.38E-06,-2.05E-06
-0.074,-2.84E-06,-2.46E-06,-3.28E-06,-2.39E-06,-2.10E-06
-0.07,-2.88E-06,-2.49E-06,-3.32E-06,-2.41E-06,-2.14E-06
-0.066,-2.93E-06,-2.52E-06,-3.37E-06,-2.42E-06,-2.21E-06
-0.062,-3.00E-06,-2.55E-06,-3.43E-06,-2.43E-06,-2.27E-06
-0.058,-3.07E-06,-2.60E-06,-3.48E-06,-2.44E-06,-2.35E-06
-0.054,-3.16E-06,-2.65E-06,-3.55E-06,-2.47E-06,-2.44E-06
-0.05,-3.26E-06,-2.71E-06,-3.63E-06,-2.51E-06,-2.54E-06
-0.046,-3.36E-06,-2.78E-06,-3.71E-06,-2.56E-06,-2.66E-06
-0.042,-3.48E-06,-2.85E-06,-3.81E-06,-2.62E-06,-2.81E-06
-0.038,-3.62E-06,-2.92E-06,-3.92E-06,-2.67E-06,-2.98E-06
-0.034,-3.79E-06,-3.00E-06,-4.03E-06,-2.74E-06,-3.18E-06
-0.03,-3.97E-06,-3.07E-06,-4.15E-06,-2.83E-06,-3.43E-06
-0.026,-4.17E-06,-3.16E-06,-4.28E-06,-2.92E-06,-3.75E-06
-0.022,-4.38E-06,-3.24E-06,-4.42E-06,-3.01E-06,-4.16E-06
-0.018,-4.61E-06,-3.33E-06,-4.56E-06,-3.12E-06,-4.65E-06
-0.014,-4.86E-06,-3.42E-06,-4.71E-06,-3.24E-06,-5.22E-06
-0.01,-5.13E-06,-3.52E-06,-4.87E-06,-3.36E-06,-5.95E-06
-0.006,-5.42E-06,-3.63E-06,-5.02E-06,-3.50E-06,-6.96E-06
-0.002,-5.74E-06,-3.73E-06,-5.19E-06,-3.64E-06,-8.31E-06
0.002,-6.07E-06,-3.83E-06,-5.37E-06,-3.79E-06,-9.86E-06
0.006,-6.43E-06,-3.95E-06,-5.55E-06,-3.94E-06,-1.12E-05
0.01,-6.81E-06,-4.07E-06,-5.75E-06,-4.09E-06,-1.19E-05
0.014,-7.21E-06,-4.19E-06,-5.94E-06,-4.26E-06,-1.18E-05
0.018,-7.62E-06,-4.30E-06,-6.15E-06,-4.44E-06,-1.09E-05
0.022,-8.05E-06,-4.42E-06,-6.34E-06,-4.63E-06,-9.74E-06
0.026,-8.49E-06,-4.53E-06,-6.55E-06,-4.82E-06,-8.76E-06
0.03,-8.93E-06,-4.64E-06,-6.74E-06,-5.01E-06,-8.17E-06
0.034,-9.36E-06,-4.73E-06,-6.92E-06,-5.21E-06,-7.98E-06
0.038,-9.80E-06,-4.83E-06,-7.08E-06,-5.41E-06,-8.09E-06
0.042,-1.02E-05,-4.92E-06,-7.23E-06,-5.60E-06,-8.42E-06
0.046,-1.06E-05,-5.01E-06,-7.35E-06,-5.77E-06,-8.86E-06
0.05,-1.10E-05,-5.09E-06,-7.46E-06,-5.92E-06,-9.35E-06
0.054,-1.14E-05,-5.16E-06,-7.55E-06,-6.06E-06,-9.86E-06
0.058,-1.16E-05,-5.21E-06,-7.61E-06,-6.17E-06,-1.04E-05
0.062,-1.19E-05,-5.25E-06,-7.66E-06,-6.26E-06,-1.09E-05
0.066,-1.21E-05,-5.27E-06,-7.69E-06,-6.33E-06,-1.15E-05
0.07,-1.22E-05,-5.28E-06,-7.71E-06,-6.37E-06,-1.20E-05
0.074,-1.22E-05,-5.28E-06,-7.70E-06,-6.39E-06,-1.25E-05
0.078,-1.22E-05,-5.26E-06,-7.67E-06,-6.38E-06,-1.30E-05
0.082,-1.22E-05,-5.22E-06,-7.61E-06,-6.32E-06,-1.35E-05
0.086,-1.20E-05,-5.17E-06,-7.52E-06,-6.25E-06,-1.39E-05
0.09,-1.18E-05,-5.10E-06,-7.39E-06,-6.14E-06,-1.42E-05
0.094,-1.15E-05,-5.02E-06,-7.26E-06,-6.01E-06,-1.45E-05
0.098,-1.12E-05,-4.92E-06,-7.09E-06,-5.85E-06,-1.47E-05
0.102,-1.08E-05,-4.82E-06,-6.91E-06,-5.66E-06,-1.48E-05
0.106,-1.04E-05,-4.71E-06,-6.72E-06,-5.46E-06,-1.49E-05
0.11,-9.92E-06,-4.58E-06,-6.52E-06,-5.24E-06,-1.48E-05
0.114,-9.43E-06,-4.45E-06,-6.32E-06,-5.01E-06,-1.47E-05
0.118,-8.91E-06,-4.33E-06,-6.12E-06,-4.78E-06,-1.44E-05
0.122,-8.39E-06,-4.19E-06,-5.91E-06,-4.54E-06,-1.41E-05
0.126,-7.87E-06,-4.06E-06,-5.70E-06,-4.30E-06,-1.36E-05
0.13,-7.37E-06,-3.92E-06,-5.48E-06,-4.07E-06,-1.31E-05
0.134,-6.89E-06,-3.79E-06,-5.27E-06,-3.84E-06,-1.26E-05
0.138,-6.45E-06,-3.65E-06,-5.05E-06,-3.62E-06,-1.20E-05
0.142,-6.02E-06,-3.52E-06,-4.85E-06,-3.41E-06,-1.14E-05
0.146,-5.61E-06,-3.39E-06,-4.66E-06,-3.22E-06,-1.08E-05
0.15,-5.21E-06,-3.26E-06,-4.47E-06,-3.03E-06,-1.01E-05
0.154,-4.84E-06,-3.14E-06,-4.28E-06,-2.86E-06,-9.47E-06
0.158,-4.49E-06,-3.02E-06,-4.11E-06,-2.71E-06,-8.85E-06
0.162,-4.18E-06,-2.91E-06,-3.94E-06,-2.57E-06,-8.25E-06
0.166,-3.90E-06,-2.80E-06,-3.79E-06,-2.44E-06,-7.68E-06
0.17,-3.65E-06,-2.70E-06,-3.64E-06,-2.32E-06,-7.14E-06
0.174,-3.42E-06,-2.60E-06,-3.51E-06,-2.20E-06,-6.64E-06
0.178,-3.23E-06,-2.51E-06,-3.38E-06,-2.09E-06,-6.17E-06
0.182,-3.05E-06,-2.43E-06,-3.26E-06,-2.00E-06,-5.75E-06
0.186,-2.88E-06,-2.34E-06,-3.15E-06,-1.91E-06,-5.36E-06
0.19,-2.74E-06,-2.25E-06,-3.06E-06,-1.84E-06,-5.01E-06
0.194,-2.61E-06,-2.17E-06,-2.96E-06,-1.77E-06,-4.70E-06
0.198,-2.49E-06,-2.10E-06,-2.88E-06,-1.71E-06,-4.42E-06
0.202,-2.38E-06,-2.03E-06,-2.80E-06,-1.66E-06,-4.16E-06
0.206,-2.28E-06,-1.97E-06,-2.72E-06,-1.61E-06,-3.92E-06
0.21,-2.20E-06,-1.91E-06,-2.65E-06,-1.57E-06,-3.71E-06
0.214,-2.13E-06,-1.84E-06,-2.58E-06,-1.53E-06,-3.52E-06
0.218,-2.06E-06,-1.79E-06,-2.52E-06,-1.49E-06,-3.36E-06
0.222,-2.00E-06,-1.74E-06,-2.46E-06,-1.46E-06,-3.22E-06
