Potential/V,Current/A,,,,
,SPGE1,SPGE2,SPGE3,SPGE4,SPGE5
-0.146,-2.56E-06,-2.57E-06,-3.06E-06,-2.52E-06,-2.72E-06
-0.142,-2.55E-06,-2.57E-06,-3.02E-06,-2.49E-06,-2.71E-06
-0.138,-2.54E-06,-2.57E-06,-2.99E-06,-2.46E-06,-2.70E-06
-0.134,-2.53E-06,-2.57E-06,-2.97E-06,-2.44E-06,-2.68E-06
-0.13,-2.52E-06,-2.56E-06,-2.96E-06,-2.42E-06,-2.67E-06
-0.126,-2.51E-06,-2.55E-06,-2.96E-06,-2.40E-06,-2.66E-06
-0.122,-2.50E-06,-2.53E-06,-2.95E-06,-2.39E-06,-2.64E-06
-0.118,-2.49E-06,-2.52E-06,-2.96E-06,-2.39E-06,-2.64E-06
-0.114,-2.48E-06,-2.51E-06,-2.96E-06,-2.38E-06,-2.63E-06
-0.11,-2.48E-06,-2.51E-06,-2.97E-06,-2.38E-06,-2.63E-06
-0.106,-2.47E-06,-2.51E-06,-2.98E-06,-2.37E-06,-2.63E-06
-0.102,-2.47E-06,-2.50E-06,-3.00E-06,-2.37E-06,-2.63E-06
-0.098,-2.47E-06,-2.50E-06,-3.02E-06,-2.37E-06,-2.64E-06
-0.094,-2.47E-06,-2.51E-06,-3.05E-06,-2.37E-06,-2.65E-06
-0.09,-2.48E-06,-2.51E-06,-3.09E-06,-2.38E-06,-2.65E-06
-0.086,-2.50E-06,-2.50E-06,-3.12E-06,-2.38E-06,-2.65E-06
-0.082,-2.52E-06,-2.50E-06,-3.15E-06,-2.39E-06,-2.65E-06
-0.078,-2.53E-06,-2.49E-06,-3.19E-06,-2.39E-06,-2.66E-06
-0.074,-2.56E-06,-2.49E-06,-3.24E-06,-2.41E-06,-2.67E-06
-0.07,-2.58E-06,-2.50E-06,-3.29E-06,-2.43E-06,-2.68E-06
-0.066,-2.60E-06,-2.50E-06,-3.35E-06,-2.45E-06,-2.71E-06
-0.062,-2.63E-06,-2.51E-06,-3.42E-06,-2.47E-06,-2.73E-06
-0.058,-2.66E-06,-2.52E-06,-3.50E-06,-2.50E-06,-2.77E-06
-0.054,-2.69E-06,-2.53E-06,-3.59E-06,-2.53E-06,-2.82E-06
-0.05,-2.74E-06,-2.56E-06,-3.69E-06,-2.57E-06,-2.88E-06
-0.046,-2.80E-06,-2.60E-06,-3.81E-06,-2.63E-06,-2.94E-06
-0.042,-2.86E-06,-2.65E-06,-3.95E-06,-2.69E-06,-3.01E-06
-0.038,-2.94E-06,-2.69E-06,-4.09E-06,-2.75E-06,-3.07E-06
-0.034,-3.03E-06,-2.74E-06,-4.27E-06,-2.82E-06,-3.15E-06
-0.03,-3.12E-06,-2.79E-06,-4.46E-06,-2.89E-06,-3.24E-06
-0.026,-3.21E-06,-2.85E-06,-4.69E-06,-2.98E-06,-3.33E-06
