Potential/V,Current/A,,,,
,SPGE1,SPGE2,SPGE3,SPGE4,SPGE5
-0.146,-2.00E-06,-6.32E-06,-2.96E-06,-3.47E-06,-3.17E-06
-0.142,-1.95E-06,-6.28E-06,-3.10E-06,-3.43E-06,-3.11E-06
-0.138,-1.91E-06,-6.25E-06,-3.19E-06,-3.40E-06,-3.07E-06
-0.134,-1.87E-06,-6.22E-06,-3.23E-06,-3.37E-06,-3.03E-06
-0.13,-1.82E-06,-6.20E-06,-3.16E-06,-3.35E-06,-2.99E-06
-0.126,-1.78E-06,-6.18E-06,-3.12E-06,-3.32E-06,-2.97E-06
-0.122,-1.74E-06,-6.18E-06,-3.08E-06,-3.30E-06,-2.95E-06
-0.118,-1.71E-06,-6.20E-06,-3.04E-06,-3.29E-06,-2.94E-06
-0.114,-1.68E-06,-6.23E-06,-3.00E-06,-3.28E-06,-2.92E-06
-0.11,-1.65E-06,-6.26E-06,-2.97E-06,-3.28E-06,-2.89E-06
-0.106,-1.62E-06,-6.28E-06,-2.96E-06,-3.28E-06,-2.87E-06
-0.102,-1.61E-06,-6.32E-06,-2.95E-06,-3.28E-06,-2.85E-06
-0.098,-1.59E-06,-6.37E-06,-2.96E-06,-3.30E-06,-2.83E-06
-0.094,-1.58E-06,-6.43E-06,-2.95E-06,-3.33E-06,-2.81E-06
-0.09,-1.56E-06,-6.52E-06,-2.96E-06,-3.37E-06,-2.80E-06
-0.086,-1.55E-06,-6.62E-06,-2.97E-06,-3.41E-06,-2.78E-06
-0.082,-1.55E-06,-6.74E-06,-2.99E-06,-3.45E-06,-2.77E-06
-0.078,-1.55E-06,-6.86E-06,-3.01E-06,-3.50E-06,-2.76E-06
-0.074,-1.55E-06,-6.99E-06,-3.02E-06,-3.56E-06,-2.75E-06
-0.07,-1.55E-06,-7.13E-06,-3.03E-06,-3.63E-06,-2.74E-06
-0.066,-1.56E-06,-7.30E-06,-3.05E-06,-3.71E-06,-2.72E-06
-0.062,-1.57E-06,-7.49E-06,-3.07E-06,-3.81E-06,-2.71E-06
-0.058,-1.59E-06,-7.70E-06,-3.10E-06,-3.93E-06,-2.70E-06
-0.054,-1.61E-06,-7.92E-06,-3.13E-06,-4.07E-06,-2.69E-06
-0.05,-1.64E-06,-8.14E-06,-3.16E-06,-4.22E-06,-2.68E-06
-0.046,-1.67E-06,-8.38E-06,-3.20E-06,-4.40E-06,-2.68E-06
-0.042,-1.70E-06,-8.65E-06,-3.25E-06,-4.61E-06,-2.69E-06
-0.038,-1.75E-06,-8.93E-06,-3.30E-06,-4.84E-06,-2.71E-06
-0.034,-1.79E-06,-9.22E-06,-3.37E-06,-5.10E-06,-2.74E-06
-0.03,-1.84E-06,-9.53E-06,-3.46E-06,-5.39E-06,-2.77E-06
-0.026,-1.89E-06,-9.86E-06,-3.55E-06,-5.67E-06,-2.80E-06
-0.022,-1.94E-06,-1.02E-05,-3.65E-06,-5.95E-06,-2.83E-06
-0.018,-1.99E-06,-1.06E-05,-3.76E-06,-6.25E-06,-2.87E-06
-0.014,-2.06E-06,-1.10E-05,-3.86E-06,-6.58E-06,-2.91E-06
-0.01,-2.14E-06,-1.14E-05,-3.97E-06,-6.96E-06,-2.96E-06
-0.006,-2.23E-06,-1.18E-05,-4.10E-06,-7.38E-06,-3.01E-06
-0.002,-2.30E-06,-1.23E-05,-4.22E-06,-7.82E-06,-3.06E-06
0.002,-2.37E-06,-1.27E-05,-4.34E-06,-8.27E-06,-3.11E-06
0.006,-2.42E-06,-1.32E-05,-4.48E-06,-8.75E-06,-3.16E-06
0.01,-2.48E-06,-1.36E-05,-4.63E-06,-9.26E-06,-3.23E-06
0.014,-2.55E-06,-1.41E-05,-4.80E-06,-9.78E-06,-3.30E-06
0.018,-2.62E-06,-1.45E-05,-4.97E-06,-1.03E-05,-3.38E-06
0.022,-2.68E-06,-1.49E-05,-5.14E-06,-1.09E-05,-3.47E-06
0.026,-2.75E-06,-1.53E-05,-5.30E-06,-1.14E-05,-3.56E-06
0.03,-2.82E-06,-1.57E-05,-5.44E-06,-1.20E-05,-3.64E-06
0.034,-2.89E-06,-1.60E-05,-5.57E-06,-1.25E-05,-3.73E-06
0.038,-2.96E-06,-1.62E-05,-5.70E-06,-1.31E-05,-3.81E-06
0.042,-3.02E-06,-1.64E-05,-5.83E-06,-1.36E-05,-3.90E-06
0.046,-3.07E-06,-1.64E-05,-5.97E-06,-1.40E-05,-3.98E-06
0.05,-3.12E-06,-1.64E-05,-6.11E-06,-1.44E-05,-4.06E-06
0.054,-3.16E-06,-1.61E-05,-6.24E-06,-1.48E-05,-4.13E-06
0.058,-3.19E-06,-1.55E-05,-6.32E-06,-1.50E-05,-4.19E-06
0.062,-3.21E-06,-1.44E-05,-6.36E-06,-1.52E-05,-4.25E-06
0.066,-3.22E-06,-1.33E-05,-6.37E-06,-1.53E-05,-4.30E-06
0.07,-3.22E-06,-1.34E-05,-6.38E-06,-1.54E-05,-4.34E-06
0.074,-3.19E-06,-1.43E-05,-6.39E-06,-1.53E-05,-4.38E-06
0.078,-3.15E-06,-1.54E-05,-6.39E-06,-1.51E-05,-4.40E-06
0.082,-3.10E-06,-1.58E-05,-6.30E-06,-1.48E-05,-4.41E-06
0.086,-3.04E-06,-1.44E-05,-6.11E-06,-1.45E-05,-4.40E-06
0.09,-2.97E-06,-1.26E-05,-5.86E-06,-1.41E-05,-4.38E-06
0.094,-2.89E-06,-1.16E-05,-5.61E-06,-1.36E-05,-4.34E-06
0.098,-2.81E-06,-1.14E-05,-5.39E-06,-1.30E-05,-4.29E-06
0.102,-2.71E-06,-1.17E-05,-5.19E-06,-1.24E-05,-4.22E-06
0.106,-2.61E-06,-1.20E-05,-4.98E-06,-1.18E-05,-4.15E-06
0.11,-2.50E-06,-1.16E-05,-4.76E-06,-1.11E-05,-4.07E-06
0.114,-2.40E-06,-1.13E-05,-4.55E-06,-1.04E-05,-3.97E-06
0.118,-2.29E-06,-1.11E-05,-4.38E-06,-9.76E-06,-3.89E-06
0.122,-2.19E-06,-1.09E-05,-4.24E-06,-9.10E-06,-3.79E-06
0.126,-2.08E-06,-1.07E-05,-4.12E-06,-8.44E-06,-3.69E-06
0.13,-1.97E-06,-1.07E-05,-4.02E-06,-7.82E-06,-3.59E-06
0.134,-1.87E-06,-1.06E-05,-3.95E-06,-7.23E-06,-3.50E-06
0.138,-1.77E-06,-1.06E-05,-3.92E-06,-6.67E-06,-3.39E-06
0.142,-1.68E-06,-1.06E-05,-3.91E-06,-6.16E-06,-3.29E-06
0.146,-1.60E-06,-1.06E-05,-3.92E-06,-5.69E-06,-3.19E-06
0.15,-1.51E-06,-1.07E-05,-3.92E-06,-5.25E-06,-3.09E-06
0.154,-1.44E-06,-1.09E-05,-3.91E-06,-4.86E-06,-3.00E-06
0.158,-1.37E-06,-1.10E-05,-3.89E-06,-4.49E-06,-2.91E-06
0.162,-1.31E-06,-1.11E-05,-3.85E-06,-4.16E-06,-2.83E-06
0.166,-1.26E-06,-1.12E-05,-3.82E-06,-3.87E-06,-2.75E-06
0.17,-1.21E-06,-1.14E-05,-3.79E-06,-3.61E-06,-2.67E-06
0.174,-1.16E-06,-1.15E-05,-3.75E-06,-3.37E-06,-2.58E-06
0.178,-1.12E-06,-1.16E-05,-3.72E-06,-3.16E-06,-2.51E-06
0.182,-1.07E-06,-1.17E-05,-3.69E-06,-2.97E-06,-2.44E-06
0.186,-1.03E-06,-1.19E-05,-3.68E-06,-2.82E-06,-2.37E-06
0.19,-9.96E-07,-1.20E-05,-3.66E-06,-2.68E-06,-2.31E-06
0.194,-9.68E-07,-1.21E-05,-3.64E-06,-2.55E-06,-2.26E-06
0.198,-9.36E-07,-1.22E-05,-3.62E-06,-2.44E-06,-2.20E-06
0.202,-9.07E-07,-1.24E-05,-3.60E-06,-2.34E-06,-2.14E-06
0.206,-8.81E-07,-1.25E-05,-3.57E-06,-2.24E-06,-2.09E-06
0.21,-8.62E-07,-1.27E-05,-3.54E-06,-2.17E-06,-2.03E-06
0.214,-8.41E-07,-1.29E-05,-3.51E-06,-2.09E-06,-1.98E-06
0.218,-8.31E-07,-1.31E-05,-3.48E-06,-2.03E-06,-1.94E-06
0.222,-8.21E-07,-1.33E-05,-3.44E-06,-1.98E-06,-1.90E-06
0.226,-8.12E-07,-1.36E-05,-3.41E-06,-1.93E-06,-1.85E-06
0.23,-7.99E-07,-1.38E-05,-3.37E-06,-1.89E-06,-1.82E-06
0.234,-7.94E-07,-1.40E-05,-3.34E-06,-1.86E-06,-1.78E-06
0.238,-7.86E-07,-1.43E-05,-3.31E-06,-1.83E-06,-1.75E-06
0.242,-7.76E-07,-1.45E-05,-3.28E-06,-1.81E-06,-1.72E-06
0.246,-7.64E-07,-1.46E-05,-3.25E-06,-1.78E-06,-1.70E-06
0.25,-7.54E-07,-1.48E-05,-3.22E-06,-1.76E-06,-1.67E-06
0.254,-7.41E-07,-1.50E-05,-3.20E-06,-1.74E-06,-1.65E-06
0.258,-7.44E-07,-1.51E-05,-3.17E-06,-1.72E-06,-1.63E-06
0.262,-7.42E-07,-1.53E-05,-3.16E-06,-1.70E-06,-1.61E-06
0.266,-7.37E-07,-1.55E-05,-3.14E-06,-1.68E-06,-1.59E-06
0.27,-7.33E-07,-1.57E-05,-3.11E-06,-1.68E-06,-1.58E-06
0.274,-7.34E-07,-1.58E-05,-3.09E-06,-1.66E-06,-1.56E-06
0.278,-7.32E-07,-1.60E-05,-3.06E-06,-1.65E-06,-1.56E-06
0.282,-7.37E-07,-1.60E-05,-3.04E-06,-1.64E-06,-1.55E-06
0.286,-7.34E-07,-1.60E-05,-3.03E-06,-1.63E-06,-1.54E-06
0.29,-7.31E-07,-1.60E-05,-3.01E-06,-1.61E-06,-1.53E-06
0.294,-7.29E-07,-1.59E-05,-2.99E-06,-1.60E-06,-1.52E-06
0.298,-7.32E-07,-1.58E-05,-2.97E-06,-1.59E-06,-1.52E-06
0.302,-7.39E-07,-1.57E-05,-2.96E-06,-1.58E-06,-1.51E-06
0.306,-7.44E-07,-1.57E-05,-2.94E-06,-1.57E-06,-1.51E-06
0.31,-7.48E-07,-1.57E-05,-2.93E-06,-1.56E-06,-1.50E-06
0.314,-7.48E-07,-1.57E-05,-2.92E-06,-1.55E-06,-1.50E-06
0.318,-7.51E-07,-1.58E-05,-2.90E-06,-1.55E-06,-1.50E-06
0.322,-7.55E-07,-1.59E-05,-2.90E-06,-1.54E-06,-1.50E-06
0.326,-7.55E-07,-1.60E-05,-2.89E-06,-1.54E-06,-1.51E-06
0.33,-7.58E-07,-1.62E-05,-2.87E-06,-1.52E-06,-1.51E-06
0.334,-7.63E-07,-1.64E-05,-2.86E-06,-1.51E-06,-1.51E-06
0.338,-7.57E-07,-1.63E-05,-2.85E-06,-1.50E-06,-1.51E-06
0.342,-7.61E-07,-1.60E-05,-2.83E-06,-1.49E-06,-1.51E-06
0.346,-7.68E-07,-1.54E-05,-2.82E-06,-1.48E-06,-1.51E-06
0.35,-7.79E-07,-1.45E-05,-2.81E-06,-1.46E-06,-1.51E-06
