Potential/V, Current/A,
,Bare,100fM
-0.146,-1.85E-06,-1.39E-06
-0.142,-1.80E-06,-1.36E-06
-0.138,-1.76E-06,-1.33E-06
-0.134,-1.73E-06,-1.30E-06
-0.13,-1.71E-06,-1.27E-06
-0.126,-1.70E-06,-1.25E-06
-0.122,-1.70E-06,-1.23E-06
-0.118,-1.71E-06,-1.22E-06
-0.114,-1.71E-06,-1.21E-06
-0.11,-1.71E-06,-1.20E-06
-0.106,-1.72E-06,-1.19E-06
-0.102,-1.73E-06,-1.19E-06
-0.098,-1.75E-06,-1.19E-06
-0.094,-1.78E-06,-1.18E-06
-0.09,-1.81E-06,-1.17E-06
-0.086,-1.84E-06,-1.16E-06
-0.082,-1.88E-06,-1.16E-06
-0.078,-1.92E-06,-1.16E-06
-0.074,-1.96E-06,-1.17E-06
-0.07,-2.02E-06,-1.17E-06
-0.066,-2.08E-06,-1.18E-06
-0.062,-2.14E-06,-1.19E-06
-0.058,-2.21E-06,-1.20E-06
-0.054,-2.30E-06,-1.22E-06
-0.05,-2.41E-06,-1.24E-06
-0.046,-2.52E-06,-1.27E-06
-0.042,-2.63E-06,-1.29E-06
-0.038,-2.75E-06,-1.31E-06
-0.034,-2.88E-06,-1.33E-06
-0.03,-3.03E-06,-1.36E-06
-0.026,-3.20E-06,-1.39E-06
-0.022,-3.38E-06,-1.43E-06
-0.018,-3.58E-06,-1.47E-06
-0.014,-3.79E-06,-1.51E-06
-0.01,-4.01E-06,-1.55E-06
-0.006,-4.24E-06,-1.59E-06
-0.002,-4.46E-06,-1.62E-06
0.002,-4.68E-06,-1.66E-06
0.006,-4.89E-06,-1.70E-06
0.01,-5.09E-06,-1.74E-06
0.014,-5.29E-06,-1.77E-06
0.018,-5.48E-06,-1.81E-06
0.022,-5.68E-06,-1.85E-06
0.026,-5.89E-06,-1.88E-06
0.03,-6.10E-06,-1.91E-06
0.034,-6.32E-06,-1.95E-06
0.038,-6.58E-06,-1.98E-06
0.042,-6.86E-06,-2.01E-06
0.046,-7.16E-06,-2.04E-06
0.05,-7.48E-06,-2.07E-06
0.054,-7.79E-06,-2.10E-06
0.058,-8.07E-06,-2.12E-06
0.062,-8.34E-06,-2.14E-06
0.066,-8.60E-06,-2.16E-06
0.07,-8.82E-06,-2.17E-06
0.074,-9.03E-06,-2.18E-06
0.078,-9.22E-06,-2.18E-06
0.082,-9.38E-06,-2.17E-06
0.086,-9.50E-06,-2.16E-06
0.09,-9.59E-06,-2.15E-06
0.094,-9.62E-06,-2.12E-06
0.098,-9.60E-06,-2.10E-06
0.102,-9.55E-06,-2.07E-06
0.106,-9.50E-06,-2.04E-06
0.11,-9.46E-06,-1.99E-06
0.114,-9.42E-06,-1.95E-06
0.118,-9.35E-06,-1.90E-06
0.122,-9.22E-06,-1.85E-06
0.126,-9.05E-06,-1.80E-06
0.13,-8.86E-06,-1.74E-06
0.134,-8.66E-06,-1.69E-06
0.138,-8.44E-06,-1.63E-06
0.142,-8.22E-06,-1.58E-06
0.146,-8.00E-06,-1.52E-06
0.15,-7.76E-06,-1.48E-06
0.154,-7.54E-06,-1.42E-06
0.158,-7.31E-06,-1.38E-06
0.162,-7.10E-06,-1.33E-06
0.166,-6.88E-06,-1.30E-06
0.17,-6.67E-06,-1.26E-06
0.174,-6.47E-06,-1.23E-06
0.178,-6.28E-06,-1.19E-06
0.182,-6.09E-06,-1.16E-06
0.186,-5.93E-06,-1.12E-06
0.19,-5.75E-06,-1.10E-06
0.194,-5.59E-06,-1.07E-06
0.198,-5.43E-06,-1.05E-06
0.202,-5.27E-06,-1.03E-06
0.206,-5.11E-06,-1.00E-06
0.21,-4.97E-06,-9.79E-07
0.214,-4.82E-06,-9.59E-07
0.218,-4.69E-06,-9.42E-07
0.222,-4.56E-06,-9.29E-07
0.226,-4.43E-06,-9.16E-07
0.23,-4.29E-06,-9.04E-07
0.234,-4.15E-06,-8.92E-07
0.238,-4.02E-06,-8.79E-07
0.242,-3.88E-06,-8.63E-07
0.246,-3.74E-06,-8.54E-07
0.25,-3.60E-06,-8.48E-07
0.254,-3.45E-06,-8.45E-07
0.258,-3.32E-06,-8.41E-07
0.262,-3.17E-06,-8.37E-07
0.266,-3.03E-06,-8.26E-07
0.27,-2.88E-06,-8.23E-07
0.274,-2.75E-06,-8.17E-07
0.278,-2.61E-06,-8.14E-07
0.282,-2.49E-06,-8.15E-07
0.286,-2.37E-06,-8.13E-07
0.29,-2.25E-06,-8.07E-07
0.294,-2.12E-06,-8.06E-07
0.298,-2.01E-06,-8.01E-07
0.302,-1.90E-06,-7.96E-07
0.306,-1.80E-06,-7.92E-07
0.31,-1.70E-06,-7.90E-07
0.314,-1.62E-06,-7.88E-07
0.318,-1.54E-06,-7.84E-07
0.322,-1.47E-06,-7.79E-07
0.326,-1.41E-06,-7.72E-07
0.33,-1.35E-06,-7.69E-07
0.334,-1.30E-06,-7.69E-07
0.338,-1.26E-06,-7.70E-07
0.342,-1.22E-06,-7.67E-07
0.346,-1.19E-06,-7.63E-07
0.35,-1.16E-06,-7.57E-07
