June 8, 2022   16:40:04
Differential Pulse Voltammetry
File: e:\10pm_bead_fe3+_spge11.bin.csv
Data Source:  Experiment
Instrument Model:  CHI650E
Data Proc:  Smoothing
Header: 
Note: 

Init E (V) = -0.15
Final E (V) = 0.35
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 10
Sensitivity (A/V) = 0.001

Ep = 0.074V
ip = -1.005e-5A
Ap = -1.286e-6VA

Potential/V, Current/A

-0.146, -2.904e-6
-0.142, -2.866e-6
-0.138, -2.830e-6
-0.134, -2.794e-6
-0.130, -2.755e-6
-0.126, -2.719e-6
-0.122, -2.694e-6
-0.118, -2.675e-6
-0.114, -2.669e-6
-0.110, -2.675e-6
-0.106, -2.679e-6
-0.102, -2.686e-6
-0.098, -2.699e-6
-0.094, -2.712e-6
-0.090, -2.733e-6
-0.086, -2.755e-6
-0.082, -2.776e-6
-0.078, -2.803e-6
-0.074, -2.839e-6
-0.070, -2.878e-6
-0.066, -2.934e-6
-0.062, -2.999e-6
-0.058, -3.072e-6
-0.054, -3.155e-6
-0.050, -3.255e-6
-0.046, -3.355e-6
-0.042, -3.482e-6
-0.038, -3.622e-6
-0.034, -3.788e-6
-0.030, -3.969e-6
-0.026, -4.169e-6
-0.022, -4.379e-6
-0.018, -4.614e-6
-0.014, -4.855e-6
-0.010, -5.132e-6
-0.006, -5.424e-6
-0.002, -5.738e-6
0.002, -6.074e-6
0.006, -6.434e-6
0.010, -6.806e-6
0.014, -7.207e-6
0.018, -7.622e-6
0.022, -8.054e-6
0.026, -8.488e-6
0.030, -8.926e-6
0.034, -9.359e-6
0.038, -9.795e-6
0.042, -1.022e-5
0.046, -1.064e-5
0.050, -1.102e-5
0.054, -1.136e-5
0.058, -1.164e-5
0.062, -1.188e-5
0.066, -1.206e-5
0.070, -1.218e-5
0.074, -1.224e-5
0.078, -1.223e-5
0.082, -1.215e-5
0.086, -1.201e-5
0.090, -1.181e-5
0.094, -1.154e-5
0.098, -1.120e-5
0.102, -1.082e-5
0.106, -1.039e-5
0.110, -9.920e-6
0.114, -9.428e-6
0.118, -8.913e-6
0.122, -8.388e-6
0.126, -7.874e-6
0.130, -7.371e-6
0.134, -6.893e-6
0.138, -6.447e-6
0.142, -6.016e-6
0.146, -5.607e-6
0.150, -5.212e-6
0.154, -4.835e-6
0.158, -4.490e-6
0.162, -4.178e-6
0.166, -3.898e-6
0.170, -3.652e-6
0.174, -3.423e-6
0.178, -3.225e-6
0.182, -3.048e-6
0.186, -2.882e-6
0.190, -2.741e-6
0.194, -2.605e-6
0.198, -2.487e-6
0.202, -2.381e-6
0.206, -2.284e-6
0.210, -2.200e-6
0.214, -2.125e-6
0.218, -2.057e-6
0.222, -2.001e-6
0.226, -1.946e-6
0.230, -1.901e-6
0.234, -1.860e-6
0.238, -1.821e-6
0.242, -1.788e-6
0.246, -1.756e-6
0.250, -1.726e-6
0.254, -1.701e-6
0.258, -1.677e-6
0.262, -1.665e-6
0.266, -1.653e-6
0.270, -1.649e-6
0.274, -1.642e-6
0.278, -1.636e-6
0.282, -1.623e-6
0.286, -1.616e-6
0.290, -1.609e-6
0.294, -1.611e-6
0.298, -1.613e-6
0.302, -1.617e-6
0.306, -1.618e-6
0.310, -1.617e-6
0.314, -1.620e-6
0.318, -1.621e-6
0.322, -1.623e-6
0.326, -1.626e-6
0.330, -1.626e-6
0.334, -1.628e-6
0.338, -1.626e-6
0.342, -1.625e-6
0.346, -1.622e-6
0.350, -1.618e-6
