June 8, 2022   16:13:58
Differential Pulse Voltammetry
File: e:\1nm_bead_fe3+_spge1.bin.csv
Data Source:  Experiment
Instrument Model:  CHI650E
Data Proc:  Smoothing
Header: 
Note: 

Init E (V) = -0.15
Final E (V) = 0.35
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 10
Sensitivity (A/V) = 0.001

Ep = 0.074V
ip = -4.177e-6A
Ap = -5.788e-7VA

Potential/V, Current/A

-0.146, -2.557e-6
-0.142, -2.547e-6
-0.138, -2.537e-6
-0.134, -2.526e-6
-0.130, -2.516e-6
-0.126, -2.505e-6
-0.122, -2.497e-6
-0.118, -2.485e-6
-0.114, -2.480e-6
-0.110, -2.475e-6
-0.106, -2.470e-6
-0.102, -2.467e-6
-0.098, -2.468e-6
-0.094, -2.471e-6
-0.090, -2.480e-6
-0.086, -2.495e-6
-0.082, -2.515e-6
-0.078, -2.534e-6
-0.074, -2.555e-6
-0.070, -2.579e-6
-0.066, -2.600e-6
-0.062, -2.628e-6
-0.058, -2.659e-6
-0.054, -2.693e-6
-0.050, -2.738e-6
-0.046, -2.795e-6
-0.042, -2.862e-6
-0.038, -2.942e-6
-0.034, -3.025e-6
-0.030, -3.115e-6
-0.026, -3.209e-6
-0.022, -3.312e-6
-0.018, -3.425e-6
-0.014, -3.546e-6
-0.010, -3.677e-6
-0.006, -3.817e-6
-0.002, -3.960e-6
0.002, -4.097e-6
0.006, -4.239e-6
0.010, -4.384e-6
0.014, -4.537e-6
0.018, -4.697e-6
0.022, -4.866e-6
0.026, -5.031e-6
0.030, -5.197e-6
0.034, -5.355e-6
0.038, -5.506e-6
0.042, -5.643e-6
0.046, -5.771e-6
0.050, -5.884e-6
0.054, -5.981e-6
0.058, -6.059e-6
0.062, -6.120e-6
0.066, -6.166e-6
0.070, -6.200e-6
0.074, -6.211e-6
0.078, -6.202e-6
0.082, -6.162e-6
0.086, -6.089e-6
0.090, -5.998e-6
0.094, -5.888e-6
0.098, -5.759e-6
0.102, -5.614e-6
0.106, -5.451e-6
0.110, -5.269e-6
0.114, -5.080e-6
0.118, -4.882e-6
0.122, -4.679e-6
0.126, -4.469e-6
0.130, -4.264e-6
0.134, -4.066e-6
0.138, -3.882e-6
0.142, -3.704e-6
0.146, -3.534e-6
0.150, -3.362e-6
0.154, -3.202e-6
0.158, -3.059e-6
0.162, -2.924e-6
0.166, -2.804e-6
0.170, -2.690e-6
0.174, -2.580e-6
0.178, -2.476e-6
0.182, -2.387e-6
0.186, -2.299e-6
0.190, -2.228e-6
0.194, -2.159e-6
0.198, -2.094e-6
0.202, -2.030e-6
0.206, -1.969e-6
0.210, -1.913e-6
0.214, -1.864e-6
0.218, -1.821e-6
0.222, -1.779e-6
0.226, -1.743e-6
0.230, -1.706e-6
0.234, -1.674e-6
0.238, -1.650e-6
0.242, -1.629e-6
0.246, -1.608e-6
0.250, -1.583e-6
0.254, -1.558e-6
0.258, -1.535e-6
0.262, -1.520e-6
0.266, -1.507e-6
0.270, -1.503e-6
0.274, -1.493e-6
0.278, -1.485e-6
0.282, -1.481e-6
0.286, -1.477e-6
0.290, -1.470e-6
0.294, -1.467e-6
0.298, -1.458e-6
0.302, -1.453e-6
0.306, -1.447e-6
0.310, -1.448e-6
0.314, -1.445e-6
0.318, -1.450e-6
0.322, -1.446e-6
0.326, -1.445e-6
0.330, -1.437e-6
0.334, -1.441e-6
0.338, -1.438e-6
0.342, -1.436e-6
0.346, -1.434e-6
0.350, -1.432e-6
