June 8, 2022   16:21:54
Differential Pulse Voltammetry
File: e:\1nm_bead_fe3+_spge3.bin.csv
Data Source:  Experiment
Instrument Model:  CHI650E
Data Proc:  Smoothing
Header: 
Note: 

Init E (V) = -0.15
Final E (V) = 0.35
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 10
Sensitivity (A/V) = 0.001

Ep = 0.074V
ip = -1.086e-5A
Ap = -1.375e-6VA

Potential/V, Current/A

-0.146, -3.056e-6
-0.142, -3.020e-6
-0.138, -2.993e-6
-0.134, -2.973e-6
-0.130, -2.962e-6
-0.126, -2.955e-6
-0.122, -2.953e-6
-0.118, -2.958e-6
-0.114, -2.963e-6
-0.110, -2.969e-6
-0.106, -2.982e-6
-0.102, -2.999e-6
-0.098, -3.023e-6
-0.094, -3.052e-6
-0.090, -3.085e-6
-0.086, -3.119e-6
-0.082, -3.154e-6
-0.078, -3.190e-6
-0.074, -3.237e-6
-0.070, -3.288e-6
-0.066, -3.351e-6
-0.062, -3.418e-6
-0.058, -3.498e-6
-0.054, -3.587e-6
-0.050, -3.693e-6
-0.046, -3.810e-6
-0.042, -3.947e-6
-0.038, -4.092e-6
-0.034, -4.267e-6
-0.030, -4.463e-6
-0.026, -4.686e-6
-0.022, -4.915e-6
-0.018, -5.166e-6
-0.014, -5.424e-6
-0.010, -5.710e-6
-0.006, -6.019e-6
-0.002, -6.364e-6
0.002, -6.722e-6
0.006, -7.111e-6
0.010, -7.508e-6
0.014, -7.929e-6
0.018, -8.365e-6
0.022, -8.823e-6
0.026, -9.284e-6
0.030, -9.756e-6
0.034, -1.022e-5
0.038, -1.069e-5
0.042, -1.115e-5
0.046, -1.160e-5
0.050, -1.201e-5
0.054, -1.237e-5
0.058, -1.267e-5
0.062, -1.291e-5
0.066, -1.309e-5
0.070, -1.319e-5
0.074, -1.322e-5
0.078, -1.317e-5
0.082, -1.305e-5
0.086, -1.287e-5
0.090, -1.262e-5
0.094, -1.230e-5
0.098, -1.190e-5
0.102, -1.145e-5
0.106, -1.095e-5
0.110, -1.042e-5
0.114, -9.865e-6
0.118, -9.294e-6
0.122, -8.712e-6
0.126, -8.141e-6
0.130, -7.586e-6
0.134, -7.063e-6
0.138, -6.565e-6
0.142, -6.095e-6
0.146, -5.648e-6
0.150, -5.232e-6
0.154, -4.850e-6
0.158, -4.508e-6
0.162, -4.192e-6
0.166, -3.910e-6
0.170, -3.654e-6
0.174, -3.421e-6
0.178, -3.211e-6
0.182, -3.024e-6
0.186, -2.855e-6
0.190, -2.712e-6
0.194, -2.585e-6
0.198, -2.466e-6
0.202, -2.358e-6
0.206, -2.260e-6
0.210, -2.174e-6
0.214, -2.102e-6
0.218, -2.040e-6
0.222, -1.986e-6
0.226, -1.938e-6
0.230, -1.897e-6
0.234, -1.863e-6
0.238, -1.829e-6
0.242, -1.800e-6
0.246, -1.777e-6
0.250, -1.759e-6
0.254, -1.745e-6
0.258, -1.736e-6
0.262, -1.730e-6
0.266, -1.724e-6
0.270, -1.718e-6
0.274, -1.709e-6
0.278, -1.704e-6
0.282, -1.704e-6
0.286, -1.706e-6
0.290, -1.706e-6
0.294, -1.712e-6
0.298, -1.712e-6
0.302, -1.720e-6
0.306, -1.727e-6
0.310, -1.732e-6
0.314, -1.735e-6
0.318, -1.745e-6
0.322, -1.753e-6
0.326, -1.756e-6
0.330, -1.760e-6
0.334, -1.762e-6
0.338, -1.762e-6
0.342, -1.764e-6
0.346, -1.766e-6
0.350, -1.769e-6
