,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,,,,,Unkn-1,,,,,,,
A,Sample,,,,,Flo_Lxx,,,,,,,
A,Peak 1,,,,,,,,,,,,
A,Peak 2,,,,,,,,,,,,
B,Content,,,,,Unkn-1,,,,,,,
B,Sample,,,,,Flo_Lxx,,,,,,,
B,Peak 1,,,,,,,,,,,,
B,Peak 2,,,,,,,,,,,,
C,Content,,,,,Unkn-1,,,,,,,
C,Sample,,,,,Flo_Lxx,,,,,,,
C,Peak 1,,,,,,,,,,,,
C,Peak 2,,,,,,,,,,,,
D,Content,,,,,Unkn-2,,,,,,,
D,Sample,,,,,Colour_Lxx,,,,,,,
D,Peak 1,,,,,,,,,,,,
D,Peak 2,,,,,,,,,,,,
E,Content,,,,,Unkn-2,,,,,,,
E,Sample,,,,,Colour_Lxx,,,,,,,
E,Peak 1,,,,,,,,,,,,
E,Peak 2,,,,,,,,,,,,
F,Content,,,,,Unkn-2,,,,,,,
F,Sample,,,,,Colour_Lxx,,,,,,,
F,Peak 1,,,,,,,,,,,,
F,Peak 2,,,,,,,,,,,,
G,Content,,,,,,,,,,,,
G,Sample,,,,,,,,,,,,
G,Peak 1,,,,,,,,,,,,
G,Peak 2,,,,,,,,,,,,
H,Content,,,,,Neg Ctrl,,,,,,,
H,Sample,,,,,Water,,,,,,,
H,Peak 1,,,,,,,,,,,,
H,Peak 2,,,,,,,,,,,,
