,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,,,,,Unkn-1,,,,,,,
A,Sample,,,,,Flo_Lxx,,,,,,,
A,Cq,,,,,NaN,,,,,,,
A,,,,,,NaN,,,,,,,
B,Content,,,,,Unkn-1,,,,,,,
B,Sample,,,,,Flo_Lxx,,,,,,,
B,Cq,,,,,NaN,,,,,,,
B,,,,,,NaN,,,,,,,
C,Content,,,,,Unkn-1,,,,,,,
C,Sample,,,,,Flo_Lxx,,,,,,,
C,Cq,,,,,NaN,,,,,,,
C,,,,,,NaN,,,,,,,
D,Content,,,,,Unkn-2,,,,,,,
D,Sample,,,,,Colour_Lxx,,,,,,,
D,Cq,,,,,NaN,,,,,,,
D,,,,,,NaN,,,,,,,
E,Content,,,,,Unkn-2,,,,,,,
E,Sample,,,,,Colour_Lxx,,,,,,,
E,Cq,,,,,NaN,,,,,,,
E,,,,,,NaN,,,,,,,
F,Content,,,,,Unkn-2,,,,,,,
F,Sample,,,,,Colour_Lxx,,,,,,,
F,Cq,,,,,NaN,,,,,,,
F,,,,,,NaN,,,,,,,
G,Content,,,,,,,,,,,,
G,Sample,,,,,,,,,,,,
G,Cq,,,,,,,,,,,,
G,,,,,,,,,,,,,
H,Content,,,,,Neg Ctrl,,,,,,,
H,Sample,,,,,Water,,,,,,,
H,Cq,,,,,NaN,,,,,,,
H,,,,,,NaN,,,,,,,
